word,utility_score,category
extérieur,2,nom
faux,2,adjectif
fermer,2,verbe
feuille,2,nom
fond,2,nom
formation,2,nom
formulaire,2,nom
frais,2,adjectif
frontière,2,nom
garantie,2,nom
gare,2,nom
gaz,2,nom
glace,2,nom
graisse,2,nom
gramme,2,nom
gras,2,adjectif
guerre,2,nom
guérir,2,verbe
général,2,adjectif
heureux,2,adjectif
identité,2,nom
impossible,2,adjectif
impression,2,nom
infirmier,2,nom
jamais,2,grammaire
kilogramme,2,nom
langue,2,nom
lettre,2,nom
libre,2,adjectif
lien,2,nom
linge,2,nom
lire,2,verbe
litre,2,nom
locataire,2,nom
loyer,2,nom
magnétique,2,adjectif
mail,2,nom
minute,2,nom
mort,2,nom
moteur,2,nom
mourir,2,verbe
multiplication,2,nom
mur,2,nom
mère,2,nom
métro,2,nom
navire,2,nom
neige,2,nom
neuf,2,nom
nez,2,nom
niveau,2,nom
non,2,grammaire
note,2,nom
obligation,2,nom
onze,2,nom
oreille,2,nom
os,2,nom
ouvrir,2,verbe
ovule,2,nom
pain,2,nom
paix,2,nom
panneau,2,nom
passer,2,verbe
patient,2,nom
peindre,2,verbe
peinture,2,nom
pensée,2,nom
perdre,2,verbe
permis,2,nom
personnage,2,nom
photo,2,nom
pied,2,nom
pièce,2,nom
placer,2,verbe
plan,2,nom
plein,2,adjectif
pont,2,nom
porte,2,nom
pourcentage,2,nom
pousser,2,verbe
prairie,2,nom
pression,2,nom
principal,2,adjectif
propriétaire,2,nom
préparer,2,verbe
présent,2,nom
prêt,2,adjectif
père,2,nom
quand,2,grammaire
quarante,2,nom
quatorze,2,nom
quinze,2,nom
recours,2,nom
regarder,2,verbe
rencontrer,2,verbe
rendez-vous,2,nom
responsable,2,nom
revenu,2,nom
reçu,2,nom
rien,2,grammaire
rose,2,adjectif
rue,2,nom
réunion,2,nom
saigner,2,verbe
sale,2,adjectif
scène,2,nom
se,2,grammaire
seize,2,nom
sel,2,nom
semaine,2,nom
sept,2,nom
si,2,grammaire
signal,2,nom
six,2,nom
soustraction,2,nom
sperme,2,nom
style,2,nom
sucre,2,nom
suivre,2,verbe
tension,2,nom
thé,2,nom
touche,2,nom
toujours,2,grammaire
tourner,2,verbe
toutes,2,grammaire
tram,2,nom
treize,2,nom
trente,2,nom
triste,2,adjectif
trop,2,grammaire
uriner,2,verbe
vaccin,2,nom
vendre,2,verbe
viande,2,nom
vingt,2,nom
voie,2,nom
voiture,2,nom
vomir,2,verbe
vélo,2,nom
éclair,2,nom
écran,2,nom
élevage,2,nom
île,2,nom
abonnement,0,nom
abricot,0,nom
accord-social,0,nom
accoucher,0,verbe
accueil,0,nom
accès,0,nom
achat,0,nom
acier,0,nom
additionner,0,verbe
adjectif,0,nom
adresse,0,nom
affiche,0,nom
affluence,0,nom
afin,0,grammaire
agenda,0,nom
aigle,0,nom
ail,0,nom
aile,0,nom
aimant,0,nom
